"the_id","the_site","the_findspot","latinsitename","long","lat","pleiades","count_stamps","avg_datemin","avg_datemax","min_datemin","max_datemin","min_datemax","max_datemax","q_start","q_end","q_interval","n_dies","die_repetition","q_repetition","avg_interval","unc_start_years","unc_end_years","unc_interval_years","midpoint_year","n_stamps_die","k_eff","k_is_fallback","sigma_eff","p_k_min","p_k_max","p_tau","p_w","eff_start","eff_end"
1003978,"Amiens","Sq. Bocquet pit 1973","Samarobriva Ambianorum",2.299999,49.900001,"109321",41,-20,3,-40,-5,-20,40,0.709,0.004,0.497,34,1.206,0.171,"-20 to 3",7,15,16,-8.9,41,0.6287,False,12.215,0.500,1.500,20.000,1.000,-16.6,-1.2
1002611,"Oberaden","Military camp",NULL,7.52,51.62,NULL,49,-16,4,-30,-10,-10,40,0.775,0.100,0.597,43,1.140,0.123,"-16 to 4",4,10,10,-6.0,49,0.5863,False,8.625,0.500,1.500,20.000,1.000,-11.0,-0.9
1002124,"Vindonissa","Keltengraben",NULL,8.233333,47.46667,NULL,5,-16,18,-20,-10,10,30,0.770,0.544,0.708,5,1.000,0.000,"-16 to 18",4,11,12,1.0,5,1.2788,False,11.981,0.500,1.500,20.000,1.000,-14.3,16.3
1001244,"Basel","Münster, Sch. 3 o",NULL,7.599999,47.566669,NULL,5,-14,3,-15,-10,-5,30,0.852,0.006,0.404,5,1.000,0.000,"-14 to 3",2,15,15,-5.5,5,1.2788,False,9.895,0.500,1.500,20.000,1.000,-18.2,7.2
1003761,"Mainz","Emmeranstraße","Mogontiacum",8.2791,50.0,"109169",29,-13,12,-30,-5,-15,50,0.649,0.307,0.538,27,1.074,0.069,"-13 to 12",6,15,16,-0.3,29,0.7346,False,12.021,0.500,1.500,20.000,1.000,-9.1,8.6
1002124,"Vindonissa","Depotfund",NULL,8.233333,47.46667,NULL,10,-6,43,-10,-5,10,60,0.750,0.598,0.633,8,1.250,0.200,"-6 to 43",2,22,22,18.8,10,1.1065,False,19.039,0.500,1.500,20.000,1.000,-2.3,39.8
1003421,"Velsen","Velsen I","Flevum",4.633333,52.46667,"99058",50,2,42,-20,40,0,70,0.001,0.618,0.513,44,1.136,0.120,"2 to 42",17,20,27,22.4,50,0.5821,False,20.854,0.500,1.500,20.000,1.000,10.3,34.5
1001320,"La Graufesenque","Fosse Cirratus","Condatomagus",3.083333,44.099998,"246410",75,21,49,10,35,40,65,0.774,0.886,0.753,47,1.596,0.373,"21 to 49",5,6,8,35.2,75,0.5235,False,9.588,0.500,1.500,20.000,1.000,30.1,40.2
1003782,"Bregenz","Samian Hoard 1913","Brigantium",9.7471,47.50311,"187325",49,25,52,10,40,35,70,0.782,0.869,0.699,27,1.815,0.449,"25 to 52",6,7,10,38.4,49,0.5863,False,9.947,0.500,1.500,20.000,1.000,32.6,44.3
1003782,"Bregenz","Böckleareal (period I)","Brigantium",9.7471,47.50311,"187325",15,29,58,10,45,35,80,0.695,0.776,0.535,15,1.000,0.000,"29 to 58",11,15,18,43.5,15,0.9724,False,14.836,0.500,1.500,20.000,1.000,29.1,57.9
