the_id,the_site,the_findspot,latinsitename,long,lat,pleiades,count_stamps,avg_datemin,avg_datemax,min_datemin,max_datemin,min_datemax,max_datemax,q_start,q_end,q_interval,n_dies,die_repetition,q_repetition,avg_interval,unc_start_years,unc_end_years,unc_interval_years,unc_start_years_exact,unc_end_years_exact,midpoint_year,n_stamps_die,k_eff,k_no_dierecord,sigma_eff,p_k_min,p_k_max,p_tau,p_w,p_t0,eff_start,eff_end,n_stamps_wide,n_potters_wide,max_potter_span
1003978,Amiens,Sq. Bocquet pit 1973,Samarobriva Ambianorum,2.299999,49.900001,109321,41,-20,3,-40,-5,-20,40,0.703,0.482,0.497,34,1.206,0.171,-20 to 3,7,15,16,7.0538,14.581562,-8.902,41,0.5011,False,12.215,0.5,1.5,6.0,1.0,20.0,-15.0,-2.8,0,0,55
1003909,Dangstetten,Military camp,,8.31,47.59,970740488,92,-18,3,-30,-10,-15,50,0.833,0.583,0.579,65,1.415,0.293,-18 to 3,4,11,11,3.665333,10.807545,-7.228,92,0.5,False,8.898,0.5,1.5,6.0,1.0,20.0,-11.7,-2.8,0,0,65
1002611,Oberaden,Military camp,,7.52,51.62,109229,49,-16,4,-30,-10,-10,40,0.814,0.617,0.597,43,1.14,0.123,-16 to 4,4,10,10,4.116191,9.647265,-5.969,49,0.5003,False,8.625,0.5,1.5,6.0,1.0,20.0,-10.3,-1.7,0,0,55
1002124,Vindonissa,Keltengraben,,8.233333,47.46667,177661,5,-16,18,-20,-10,10,30,0.811,0.578,0.708,5,1.0,0.0,-16 to 18,4,11,12,4.1833,10.954451,1.0,5,0.9346,False,11.981,0.5,1.5,6.0,1.0,20.0,-10.2,12.2,0,0,45
1001244,Basel,"Münster, Sch. 3 o",,7.599999,47.566669,177468,5,-14,3,-15,-10,-5,30,0.894,0.467,0.404,5,1.0,0.0,-14 to 3,2,15,15,2.236068,15.247951,-5.5,5,0.9346,False,9.895,0.5,1.5,6.0,1.0,20.0,-14.7,3.7,0,0,45
1003761,Mainz,Emmeranstraße,Mogontiacum,8.2791,50.0,109169,29,-13,12,-30,-5,-15,50,0.756,0.48,0.538,27,1.074,0.069,-13 to 12,6,15,16,5.592923,14.67631,-0.259,29,0.508,False,12.021,0.5,1.5,6.0,1.0,20.0,-6.4,5.8,0,0,55
1002124,Vindonissa,Depotfund,,8.233333,47.46667,177661,10,-6,43,-10,-5,10,60,0.924,0.331,0.633,8,1.25,0.2,-6 to 43,2,22,22,1.581139,22.135944,18.75,10,0.6889,False,19.039,0.5,1.5,6.0,1.0,20.0,5.6,31.9,0,0,65
1003421,Velsen,Velsen I,Flevum,4.633333,52.46667,99058,51,2,42,-20,40,0,70,0.426,0.355,0.506,45,1.133,0.117,2 to 42,17,21,27,17.069064,20.732186,22.059,51,0.5002,False,20.793,0.5,1.5,6.0,1.0,20.0,11.7,32.5,0,0,75
1001320,La Graufesenque,Fosse Cirratus,Condatomagus,3.083333,44.099998,246410,75,21,49,10,35,40,65,0.764,0.743,0.753,47,1.596,0.373,21 to 49,5,6,8,5.390181,5.946458,35.167,75,0.5,False,9.588,0.5,1.5,6.0,1.0,20.0,30.4,40.0,0,0,40
1001320,La Graufesenque,Fosse Malaval,Condatomagus,3.083333,44.099998,246410,161,34,63,10,55,45,75,0.585,0.71,0.641,72,2.236,0.553,34 to 63,11,7,13,10.711128,6.855173,48.665,161,0.5,False,11.926,0.5,1.5,6.0,1.0,20.0,42.7,54.6,0,0,40
